Beaker	Graduated_Cylinder	Glass_Pipette	Mech_Pipette	Balance
12.935	14.625	14.933	14.946	"B"
12.311	14.952	15.041	14.921	"B"
12.553	15.026	15.043	14.942	"B"
12.871	15.114	15.017	14.924	"B"
12.75	15.082	15.005	14.933	"B"
12.785	14.671	14.939	15.045	"B"
12.983	14.83	15.115	15.021	"B"
12.627	14.872	15.109	15.093	"B"
11.419	14.921	15.032	15.083	"B"
12.202	14.911	15.123	14.978	"B"
13.272	13.52	14.919	15.094	"B"
13.491	13.192	14.906	15.06	"B"
13.18	13.446	14.950	15.04	"B"
13.111	13.364	14.950	15.032	"B"
12.933	13.195	14.954	15.073	"B"
12.785	14.671	14.939	15.045	"B"
12.983	14.83	15.115	15.021	"B"
12.627	14.872	15.109	15.093	"B"
11.419	14.921	15.032	15.083	"B"
12.202	14.911	15.123	14.978	"B"
13.8628	13.3747	14.8986	15.0072	"A"
13.454	12.8601	14.9590	14.9716	"A"
13.8047	13.2595	14.9032	15.9259	"A"
13.7533	13.1554	14.9292	14.8266	"A"
13.8763	13.3507	14.8362	14.849	"A"
12.396	14.883	14.936	14.928	"B"
11.592	14.908	14.912	15.085	"B"
12.618	14.779	14.903	14.969	"B"
12.369	15.001	14.862	14.99	"B"
13.851	14.847	14.926	14.967	"B"
13.0324	18.6402	18.9426	14.6926	"A"
15.8228	18.7457	15.0340	18.8813	"A"
17.2805	18.6897	19.1557	14.6916	"A"
17.1070	13.9851	15.1372	18.8464	"A"
17.4482	18.7259	19.1921	14.9868	"A"
15.128	13.513	14.907	14.955	"B"
14.326	13.742	14.966	15.069	"B"
15.168	13.701	15.092	15.034	"B"
14.915	13.588	14.937	15.024	"B"
15.070	13.592	14.875	14.975	"B"
