Sample ID,AS Loc,Date,Time,Analyte,Wavelength,Abs,RSD,Repl,Abs1,Repl,Abs2,Repl,Abs3
JRB,38,09/20/23,05:16:03 PM,Ca 422.67,422.67,-0.0002115264277,221.4483251,1,-0.0004357293768,2,0.0003268598067,3,-0.0005257097129
JRL,39,09/20/23,05:16:42 PM,Ca 422.67,422.67,0.1655450053,1.508028668,1,0.1674826391,2,0.1627278041,3,0.1664245728
JRML,40,09/20/23,05:17:22 PM,Ca 422.67,422.67,0.2831571834,0.940389826,1,0.286070751,2,0.2808496661,3,0.2825511332
JRM,41,09/20/23,05:18:02 PM,Ca 422.67,422.67,0.3861306502,0.8853961458,1,0.3896000309,2,0.3860271082,3,0.3827648114
JRMH,42,09/20/23,05:18:42 PM,Ca 422.67,422.67,0.606302796,0.177708297,1,0.6058738046,2,0.6075286641,3,0.6055059193
JRH,43,09/20/23,05:19:22 PM,Ca 422.67,422.67,0.8462057969,0.3473474309,1,0.8431547935,2,0.84901888,3,0.8464437172
JRQC,44,09/20/23,05:20:02 PM,Ca 422.67,422.67,0.2886675621,0.5937894601,1,0.2875512648,2,0.2906411514,3,0.2878102701
JRS1J,45,09/20/23,05:20:42 PM,Ca 422.67,422.67,0.08117295213,1.4846865,1,0.08089070675,2,0.08013395911,3,0.08249419053
JRS2R,46,09/20/23,05:21:22 PM,Ca 422.67,422.67,0.08279351401,0.6831370346,1,0.08247821596,2,0.08344647705,3,0.08245584902
CBB,50,09/20/23,05:22:02 PM,Ca 422.67,422.67,-0.0003173174805,87.23287524,1,-1.42E-05,2,-0.0003810546775,3,-0.0005566946652
CBL,51,09/20/23,05:22:43 PM,Ca 422.67,422.67,0.1354366521,0.1919333449,1,0.1352706124,2,0.1353031168,3,0.1357362271
CBML,52,09/20/23,05:23:23 PM,Ca 422.67,422.67,0.3265585198,0.8921228741,1,0.3234420965,2,0.329213666,3,0.3270197968
CBM,53,09/20/23,05:24:03 PM,Ca 422.67,422.67,0.6099060484,0.6283152515,1,0.6122202573,2,0.6120152214,3,0.6054826664
CBMH,54,09/20/23,05:24:44 PM,Ca 422.67,422.67,0.8581820933,0.6257708331,1,0.8643681382,2,0.8547159006,3,0.8554622412
CBH,55,09/20/23,05:25:24 PM,Ca 422.67,422.67,1.082762913,0.2681682711,1,1.0816201,2,1.080604571,3,1.086064069
CBQC,56,09/20/23,05:26:04 PM,Ca 422.67,422.67,0.2872612483,0.2295278912,1,0.2877086016,2,0.2875710899,3,0.2865040535
CBS1C,57,09/20/23,05:26:44 PM,Ca 422.67,422.67,0.07957948805,1.288874015,1,0.07894432708,2,0.08076277404,3,0.07903136303
