Sample ID,Analyte Name,Abs (Corr),Bkgnd Area,Bkgnd Ht,RSD (Corr Abs),Repl No1,Date1,Time1,Abs (Net)1,Abs (Corr)1,Repl No2,Date2,Time2,Abs (Net)2,Abs (Corr)2,Repl No3,Date3,Time3,Abs (Net)3,Abs (Corr)3
1,Ca 422.67,0.02323970827, , ,19.80761444,1,9/15/2023,4:22:35 PM, ,0.01813678108,2,9/15/2023,4:22:38 PM, ,0.02707952106,3,9/15/2023,4:22:42 PM, ,0.02450282268
2,Ca 422.67,0.1542210457, , ,32.8610056,1,9/15/2023,4:22:50 PM, ,0.09570247386,2,9/15/2023,4:22:54 PM, ,0.183439256,3,9/15/2023,4:22:57 PM, ,0.1835214072
3,Ca 422.67,0.111589553, , ,25.5102664,1,9/15/2023,4:23:06 PM, ,0.07874115691,2,9/15/2023,4:23:10 PM, ,0.1290603723,3,9/15/2023,4:23:13 PM, ,0.1269671298
1,Ca 422.67,0.02436624239, , ,2.915078769,1,9/15/2023,4:24:47 PM, ,0.02433275562,2,9/15/2023,4:24:51 PM, ,0.02367328288,3,9/15/2023,4:24:54 PM, ,0.02509268865
2,Ca 422.67,0.1754017657, , ,0.5606318842,1,9/15/2023,4:25:24 PM, ,0.1765177048,2,9/15/2023,4:25:27 PM, ,0.1750254641,3,9/15/2023,4:25:31 PM, ,0.1746621281
3,Ca 422.67,0.1287776963, , ,0.3524077886,1,9/15/2023,4:26:00 PM, ,0.1287180154,2,9/15/2023,4:26:04 PM, ,0.1283566669,3,9/15/2023,4:26:07 PM, ,0.1292584066
4,Ca 422.67,0.2281426209, , ,4.917252924,1,9/15/2023,4:26:37 PM, ,0.2160211498,2,9/15/2023,4:26:40 PM, ,0.2302468651,3,9/15/2023,4:26:43 PM, ,0.2381598477
5,Ca 422.67,0.3170102848, , ,1.203354753,1,9/15/2023,4:27:13 PM, ,0.3184401085,2,9/15/2023,4:27:16 PM, ,0.3199035699,3,9/15/2023,4:27:20 PM, ,0.3126871762
blank,Ca 422.67,-0.08300204476, , ,0.6190987879,1,9/15/2023,4:27:51 PM, ,-0.08244806481,2,9/15/2023,4:27:54 PM, ,-0.08309495173,3,9/15/2023,4:27:58 PM, ,-0.08346311772
s1-10,Ca 422.67,-0.06885274752, , ,1.442940678,1,9/15/2023,4:28:28 PM, ,-0.06897370418,2,9/15/2023,4:28:32 PM, ,-0.06978023574,3,9/15/2023,4:28:35 PM, ,-0.06780430263
s,Ca 422.67,-0.02532590147, , ,6.116456251,1,9/15/2023,4:29:05 PM, ,-0.02357570232,2,9/15/2023,4:29:08 PM, ,-0.02588139044,3,9/15/2023,4:29:12 PM, ,-0.02652061165
1,Mg 285.21,0.8342977718, , ,0.747890665,1,9/15/2023,4:30:32 PM, ,0.8283890378,2,9/15/2023,4:30:35 PM, ,0.8336816776,3,9/15/2023,4:30:39 PM, ,0.8408226001
2,Mg 285.21,1.320676089, , ,0.07562803549,1,9/15/2023,4:31:08 PM, ,1.321798027,2,9/15/2023,4:31:12 PM, ,1.31988372,3,9/15/2023,4:31:15 PM, ,1.320346521
3,Mg 285.21,1.232554796, , ,0.288413162,1,9/15/2023,4:31:44 PM, ,1.229088255,2,9/15/2023,4:31:48 PM, ,1.236191821,3,9/15/2023,4:31:51 PM, ,1.232384313
4,Mg 285.21,1.378633384, , ,0.1191785786,1,9/15/2023,4:32:20 PM, ,1.376774613,2,9/15/2023,4:32:24 PM, ,1.379233692,3,9/15/2023,4:32:28 PM, ,1.379891848
5,Mg 285.21,1.439426788, , ,0.07907676422,1,9/15/2023,4:32:57 PM, ,1.439032464,2,9/15/2023,4:33:00 PM, ,1.438538134,3,9/15/2023,4:33:04 PM, ,1.440709768
blank,Mg 285.21,-0.01689631716, , ,7.329683542,1,9/15/2023,4:33:35 PM, ,-0.01577125848,2,9/15/2023,4:33:38 PM, ,-0.01669436488,3,9/15/2023,4:33:42 PM, ,-0.01822332813
s1-10,Mg 285.21,0.01017691402, , ,6.932668924,1,9/15/2023,4:34:12 PM, ,0.009890846646,2,9/15/2023,4:34:16 PM, ,0.009659342561,3,9/15/2023,4:34:19 PM, ,0.01098055284
s,Mg 285.21,0.2867727146, , ,0.751538124,1,9/15/2023,4:34:49 PM, ,0.2852088513,2,9/15/2023,4:34:52 PM, ,0.2858781432,3,9/15/2023,4:34:55 PM, ,0.2892311494
